支撑喉镜下声带切除术	30.22001	{"1_region_term": ["声带"], "2_operation_term": ["切除术"], "0_approach_term": ["支撑喉镜下"]}
副神经探查术	04.04021	{"1_region_term": ["副神经"], "2_operation_term": ["探查术"]}
跖骨骨折闭合复位螺钉内固定术	79.17006	{"1_region_term": ["跖骨"], "4_implant_term": ["螺钉"], "2_operation_term": ["闭合复位", "内固定术"], "3_disease_term": ["骨折"]}
跖骨死骨去除术	77.08001	{"1_region_term": ["跖骨"], "2_operation_term": ["死骨去除术"]}
腹腔镜下阴道前壁修补术	70.51002	{"1_region_term": ["阴道前壁"], "2_operation_term": ["修补术"], "0_approach_term": ["腹腔镜下"]}
腹腔镜下胰腺探查	52.13001	{"1_region_term": ["胰腺"], "2_operation_term": ["探查"], "0_approach_term": ["腹腔镜下"]}
唇裂再修复术	27.54001	{"dummy_term": ["唇裂"], "2_operation_term": ["再修复术"]}
锁骨下血管CT显像	88.38039	{"1_region_term": ["锁骨下血管"], "2_operation_term": ["CT显像"]}
肱骨CT检查	88.38017	{"1_region_term": ["肱骨"], "2_operation_term": ["CT检查"]}
人工气管重建术	31.75004	{"2_operation_term": ["重建术"], "4_implant_term": ["人工气管"]}
气管隆突成形术	31.79005	{"1_region_term": ["气管"], "2_operation_term": ["成形术"], "3_disease_term": ["隆突"]}
巩膜交联术	12.89007	{"1_region_term": ["巩膜"], "2_operation_term": ["交联术"]}
鼻内窥镜下经鼻额窦底切除术	22.42009	{"1_region_term": ["额窦底"], "2_operation_term": ["切除术"], "0_approach_term": ["鼻内窥镜下经鼻"]}
乳房重建术应用游离胸大肌	85.79001	{"1_region_term": ["乳房"], "2_operation_term": ["重建术"], "5_others_term": ["应用游离胸大肌"]}
腹腔镜下盲肠部分切除术	17.32001	{"1_region_term": ["盲肠"], "2_operation_term": ["部分切除术"], "0_approach_term": ["腹腔镜下"]}
脏层胸膜剥除术	34.51004	{"1_region_term": ["脏层胸膜"], "2_operation_term": ["剥除术"]}
