头和颈部血管治疗性超声	00.0100	{"1_region_term": ["头", "颈部", "血管"], "2_type_term": ["治疗"], "4_connect_term": ["和"], "dummy_term": ["超声"], "5_others_term": ["性"]}
头部血管治疗性超声	00.0101	{"1_region_term": ["头部", "血管"], "2_type_term": ["治疗"], "dummy_term": ["超声"], "5_others_term": ["性"]}
颈部血管治疗性超声	00.0102	{"1_region_term": ["颈部", "血管"], "2_type_term": ["治疗"], "dummy_term": ["超声"], "5_others_term": ["性"]}
心脏治疗性超声	00.0200	{"0_core_term": ["心脏"], "2_type_term": ["治疗"], "dummy_term": ["超声"], "5_others_term": ["性"]}
心脏血管治疗性超声	00.0200x001	{"0_core_term": ["心脏"], "2_type_term": ["治疗"], "dummy_term": ["超声"], "1_region_term": ["血管"], "5_others_term": ["性"]}
周围血管治疗性超声	00.0300	{"1_region_term": ["血管"], "2_type_term": ["治疗"], "dummy_term": ["超声"], "5_others_term": ["周围", "性"]}
其他治疗性超声	00.0900	{"2_type_term": ["治疗"], "dummy_term": ["其他", "超声"], "5_others_term": ["性"]}
治疗性超声	00.0900x001	{"2_type_term": ["治疗"], "dummy_term": ["超声"], "5_others_term": ["性"]}
高强度聚焦超声治疗	00.0901	{"2_type_term": ["治疗"], "dummy_term": ["高强度", "聚焦", "超声"]}
化学治疗物质植入	00.1000	{"dummy_term": ["化学治疗", "物质"], "5_others_term": ["植入"]}
重组人类活化C蛋白输注	00.1100	{"0_core_term": ["蛋白"], "2_type_term": ["C"], "dummy_term": ["重组", "人类", "活化", "输注"]}
重组蛋白输注	00.1101	{"0_core_term": ["蛋白"], "dummy_term": ["重组", "输注"]}
吸入一氧化氮管理	00.1200	{"dummy_term": ["吸入", "一氧化氮", "管理"]}
一氧化氮疗法	00.1201	{"dummy_term": ["一氧化氮", "疗法"]}
奈西立肽注射或输注	00.1300	{"4_connect_term": ["或"], "dummy_term": ["奈", "西", "立", "肽", "输注"], "5_others_term": ["注射"]}
人类B型钠尿肽（hBNP）输注	00.1301	{"2_type_term": ["B型", "NP"], "dummy_term": ["人类", "钠尿肽", "hB", "输注"]}
噁唑烷酮类抗生素注射或输注	00.1400	{"4_connect_term": ["或"], "dummy_term": ["噁", "唑", "烷", "酮类", "抗生素", "输注"], "5_others_term": ["注射"]}
注射噁唑烷酮类抗生素	00.1400x001	{"dummy_term": ["噁", "唑", "烷", "酮类", "抗生素"], "5_others_term": ["注射"]}
输注噁唑烷酮类抗生素	00.1400x002	{"dummy_term": ["输注", "噁", "唑", "烷", "酮类", "抗生素"]}
大剂量白细胞介素-2[IL-2]输注	00.1500	{"0_core_term": ["大", "白细胞"], "dummy_term": ["剂量", "介素", "-", "2", "IL", "-", "2", "输注"]}
输注白细胞介素	00.1500x001	{"0_core_term": ["白细胞"], "dummy_term": ["输注", "介素"]}
注射阿地白细胞介素	00.1500x002	{"0_core_term": ["白细胞"], "dummy_term": ["阿", "地", "介素"], "5_others_term": ["注射"]}
