古典生物型霍乱	A00.001	{"0_core_term": ["霍乱"], "2_type_term": ["古典生物型"]}
埃尔托生物型霍乱	A00.101	{"0_core_term": ["霍乱"], "2_type_term": ["埃尔托生物型"]}
霍乱	A00.901	{"0_core_term": ["霍乱"]}
霍乱轻型	A00.902	{"0_core_term": ["霍乱"], "2_type_term": ["轻型"]}
霍乱中型	A00.903	{"0_core_term": ["霍乱"], "2_type_term": ["中型"]}
霍乱重型	A00.904	{"0_core_term": ["霍乱"], "2_type_term": ["重型"]}
霍乱暴发型	A00.905	{"0_core_term": ["霍乱"], "2_type_term": ["暴发型"]}
伤寒	A01.001	{"0_core_term": ["伤寒"]}
伤寒杆菌败血症	A01.002	{"0_core_term": ["伤寒杆菌", "败血症"]}
伤寒并发脑膜炎	A01.003+G01*	{"0_core_term": ["伤寒", "脑膜炎"], "4_connect_term": ["并发"]}
伤寒复发	A01.004	{"0_core_term": ["伤寒"], "1_region_term": ["复发"]}
伤寒并发肺炎	A01.005+J17.0*	{"0_core_term": ["伤寒", "肺炎"], "4_connect_term": ["并发"]}
伤寒迁延型	A01.006	{"0_core_term": ["伤寒"], "2_type_term": ["迁延型"]}
伤寒逍遥型	A01.007	{"0_core_term": ["伤寒"], "2_type_term": ["逍遥型"]}
伤寒并发腹膜炎	A01.008	{"0_core_term": ["伤寒", "腹膜炎"], "4_connect_term": ["并发"]}
伤寒并发肠穿孔	A01.009	{"0_core_term": ["伤寒", "穿孔"], "1_region_term": ["肠"], "4_connect_term": ["并发"]}
伤寒并发肠出血	A01.010	{"0_core_term": ["伤寒", "出血"], "1_region_term": ["肠"], "4_connect_term": ["并发"]}
伤寒并发中毒性肝炎	A01.011	{"0_core_term": ["伤寒", "肝炎"], "2_type_term": ["中毒性"], "4_connect_term": ["并发"]}
伤寒并发支气管炎	A01.012	{"0_core_term": ["伤寒", "炎"], "1_region_term": ["支气管"], "4_connect_term": ["并发"]}
伤寒并发胆囊炎	A01.014	{"0_core_term": ["伤寒", "胆囊炎"], "4_connect_term": ["并发"]}
伤寒并发中毒性心肌炎	A01.016+I41.0*	{"0_core_term": ["伤寒", "心肌炎"], "2_type_term": ["中毒性"], "4_connect_term": ["并发"]}
伤寒轻型	A01.017	{"0_core_term": ["伤寒"], "2_type_term": ["轻型"]}
伤寒普通型	A01.018	{"0_core_term": ["伤寒"], "2_type_term": ["普通型"]}
伤寒暴发型	A01.019	{"0_core_term": ["伤寒"], "2_type_term": ["暴发型"]}
伤寒再燃	A01.020	{"0_core_term": ["伤寒"], "dummy_term": ["再燃"]}
副伤寒甲	A01.101	{"0_core_term": ["副伤寒"], "1_region_term": ["甲"]}
副伤寒乙	A01.201	{"0_core_term": ["副伤寒"], "2_type_term": ["乙"]}
副伤寒丙	A01.301	{"0_core_term": ["副伤寒"], "2_type_term": ["丙"]}
副伤寒	A01.401	{"0_core_term": ["副伤寒"]}
沙门菌肠炎	A02.001	{"0_core_term": ["沙门菌", "肠炎"]}
沙门菌胃肠炎	A02.002	{"0_core_term": ["沙门菌", "胃肠炎"]}
沙门菌伦敦血清型肠炎	A02.003	{"0_core_term": ["沙门菌", "肠炎"], "2_type_term": ["血清型"], "dummy_term": ["伦敦"]}
鼠伤寒沙门菌肠炎	A02.004	{"0_core_term": ["伤寒", "沙门菌", "肠炎"], "5_others_term": ["鼠"]}
婴儿沙门菌肠炎	A02.005	{"0_core_term": ["沙门菌", "肠炎"], "1_region_term": ["婴儿"]}
C群沙门菌肠炎	A02.006	{"0_core_term": ["沙门菌", "肠炎"], "2_type_term": ["C"], "dummy_term": ["群"]}
B群沙门菌肠炎	A02.007	{"0_core_term": ["沙门菌", "肠炎"], "dummy_term": ["B", "群"]}
阿哥拉沙门菌肠炎	A02.008	{"0_core_term": ["沙门菌", "肠炎"], "dummy_term": ["阿哥", "拉"]}
