霍乱	A00
霍乱,由于01群霍乱弧菌,霍乱生物型所致	A00.0
霍乱，由于01群霍乱弧菌，霍乱生物型所致	A00.000
霍乱,由于01群霍乱弧菌,埃尔托生物型所致	A00.1
霍乱，由于01群霍乱弧菌，埃尔托生物型所致	A00.100
未特指的霍乱	A00.9
霍乱	A00.900
伤寒和副伤寒	A01
伤寒	A01.0
伤寒	A01.000
伤寒性肝炎	A01.001†K77.0*
伤寒性脑膜炎	A01.002†G01*
伤寒杆菌性败血症	A01.003
副伤寒甲	A01.1
副伤寒甲	A01.100
副伤寒乙	A01.2
副伤寒乙	A01.200
副伤寒丙	A01.3
副伤寒丙	A01.300
未特指的副伤寒	A01.4
副伤寒	A01.400
其他沙门菌感染	A02
沙门菌肠炎	A02.0
沙门菌肠炎	A02.000
阿哥拉沙门菌肠炎	A02.001
沙门菌伦敦血清型肠炎	A02.002
沙门菌胃肠炎	A02.003
鼠伤寒沙门菌肠炎	A02.004
沙门菌脓毒病	A02.1
沙门菌败血症	A02.100
猪霍乱沙门菌败血症	A02.101
局限性沙门菌感染	A02.2
局限性沙门菌感染	A02.200
沙门菌肺炎	A02.201†J17.0*
沙门菌关节炎	A02.202†M01.3*
沙门菌脑膜炎	A02.203†G01*
其他特指的沙门菌感染	A02.8
沙门菌感染，其他特指的	A02.800
未特指的沙门菌感染	A02.9
沙门菌感染	A02.900
猪霍乱沙门菌感染	A02.901
细菌性痢疾	A03
志贺痢疾杆菌引起的细菌性痢疾	A03.0
志贺痢疾杆菌引起的细菌性痢疾	A03.000
弗氏志贺菌引起的细菌性痢疾	A03.1
弗氏志贺菌引起的细菌性痢疾	A03.100
福氏志贺菌细菌性痢疾	A03.101
波氏志贺菌引起的细菌性痢疾	A03.2
波氏志贺菌引起的细菌性痢疾	A03.200
鲍氏志贺菌细菌性痢疾	A03.201
宋内志贺菌引起的细菌性痢疾	A03.3
宋内志贺菌引起的细菌性痢疾	A03.300
其他细菌性痢疾	A03.8
细菌性痢疾，其他的	A03.800
未特指的细菌性痢疾	A03.9
细菌性痢疾	A03.900
急性细菌性痢疾	A03.901
慢性迁延型细菌性痢疾	A03.902
慢性细菌性痢疾	A03.903
中毒型细菌性痢疾	A03.904
其他细菌性肠道感染	A04
肠道病原性大肠杆菌感染	A04.0
肠道病原性大肠杆菌感染	A04.000
肠毒性大肠杆菌感染	A04.1
肠毒性大肠杆菌感染	A04.100
肠侵袭性大肠杆菌感染	A04.2
肠侵袭性大肠杆菌感染	A04.200
肠出血性大肠杆菌感染	A04.3
肠出血性大肠杆菌感染	A04.300
新生儿肠出血性大肠杆菌肠炎	A04.301
肠道大肠杆菌感染	A04.4
肠道大肠杆菌感染，其他的	A04.400
大肠杆菌性肠炎	A04.401
新生儿大肠杆菌肠炎	A04.402
弯曲菌肠炎	A04.5
弯曲菌肠炎	A04.500
小肠结肠耶尔森菌性小肠炎	A04.6
小肠结肠耶尔森菌性小肠炎	A04.600
艰难梭状芽胞杆菌性小肠结肠炎	A04.7
艰难梭状芽胞杆菌性小肠结肠炎	A04.700
其他特指的细菌性肠道感染	A04.8
肠道感染，其他特指的细菌性	A04.800
变形杆菌肠炎	A04.801
铜绿假单胞菌肠炎	A04.802
厌氧菌肠炎	A04.803
未特指的细菌性肠道感染	A04.9
细菌性肠道感染	A04.900
细菌性结肠炎	A04.901
细菌性腹泻	A04.902
其他细菌性食物中毒,不可归类在他处者	A05
食物媒介的葡萄球菌性食物中毒	A05.0
食物媒介的葡萄球菌性食物中毒	A05.000
肉毒中毒	A05.1
肉毒中毒	A05.100
食物媒介的产气荚膜梭状芽胞杆菌[韦尔希梭状芽胞杆菌]食物中毒	A05.2
食物媒介的产气荚膜梭状芽胞杆菌	A05.200
急性坏死性肠炎	A05.202
食物媒介的副溶血性弧菌食物中毒	A05.3
食物媒介的副溶血性弧菌食物中毒	A05.300
食物媒介的蜡样芽胞杆菌食物中毒	A05.4
食物媒介的蜡样芽胞杆菌食物中毒	A05.400
其他特指的细菌性食物中毒	A05.8
食物中毒，其他特指的细菌性	A05.800
未特指的细菌性食物中毒	A05.9
细菌性食物中毒	A05.900
阿米巴病	A06
急性阿米巴痢疾	A06.0
急性阿米巴痢疾	A06.000
阿米巴结肠炎	A06.001
阿米巴痢疾	A06.002
慢性肠阿米巴病	A06.1
慢性肠阿米巴病	A06.100
阿米巴非痢疾性结肠炎	A06.2
阿米巴非痢疾性结肠炎	A06.200
肠道阿米巴瘤	A06.3
肠道阿米巴瘤	A06.300
阿米巴肝脓肿	A06.4
阿米巴肝脓肿	A06.400
阿米巴肺脓肿	A06.5+J99.8*
阿米巴肺脓肿	A06.500†J99.8*
阿米巴肝肺脓肿	A06.501†J99.8*
阿米巴脑脓肿	A06.6+G07*
阿米巴脑脓肿	A06.600†G07*
皮肤阿米巴病	A06.7
皮肤阿米巴病	A06.700
其他部位的阿米巴感染	A06.8
阿米巴感染，其他部位的	A06.800
眼阿米巴病	A06.801
未特指的阿米巴病	A06.9
阿米巴病	A06.900
其他原虫性肠道疾病	A07
小袋纤毛虫病	A07.0
小袋纤毛虫病	A07.000
