链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
十二指肠溃疡慢性或未特指的,伴有出血和穿孔	K26.6	{"1_region_term": ["十二指肠"], "dummy_term": ["溃疡", "慢性", "或", "未", "特指", "的", "伴有", "出", "血", "和"], "3_disease_term": ["穿孔"]}
皮肤其他良性肿瘤	D23	{"1_region_term": ["皮肤"], "dummy_term": ["其他", "良性肿瘤"]}
其他躁狂发作	F30.8	{"dummy_term": ["其他", "躁狂", "发作"]}
颈部其他和未特指的损伤	S19	{"1_region_term": ["颈部"], "dummy_term": ["其他", "和", "未", "特指", "的"], "3_disease_term": ["损伤"]}
其他特指的关节紊乱	M24	{"1_region_term": ["关节"], "dummy_term": ["其他", "特指", "的", "紊乱"]}
半月板损伤	M23.308	{"1_region_term": ["半月板"], "3_disease_term": ["损伤"]}
四肢动脉的动脉粥样硬化	I70.200	{"1_region_term": ["动脉", "动脉"], "dummy_term": ["四肢", "的", "粥样", "硬化"]}
职业性牙磨损	K03.104	{"1_region_term": ["牙"], "dummy_term": ["磨损"], "5_others_term": ["职业性"]}
腹壁瘘	K63.214	{"1_region_term": ["腹壁"], "3_disease_term": ["瘘"]}
抑郁性品行障碍	F92.000	{"dummy_term": ["抑郁", "性", "品行", "障碍"]}
小腿其他特指的损伤	S89.800	{"1_region_term": ["小腿"], "dummy_term": ["其他", "特指", "的"], "3_disease_term": ["损伤"]}
口其他和未特指部位的恶性肿瘤	C06	{"dummy_term": ["口", "其他", "和", "未", "特指", "部位", "的", "恶性肿瘤"]}
皮瓣移植感染	T86.807	{"1_region_term": ["皮瓣"], "dummy_term": ["感染"], "2_operation_term": ["移植"]}
咽囊	Q38.700	{"1_region_term": ["咽"], "dummy_term": ["囊"]}
双胎，均为活产	Z37.200	{"dummy_term": ["双胎", ",", "均", "为", "活产"]}
大腿和小腿先天性缺如伴足的存在	Q72.1	{"1_region_term": ["大腿", "小腿", "足"], "dummy_term": ["和", "先天性", "缺如", "伴", "的", "存在"]}
空调器和加湿器肺	J67.700	{"1_region_term": ["肺"], "dummy_term": ["空调器", "和", "加湿器"]}
腹腔镜绝育	Z30.201	{"dummy_term": ["腹腔镜", "绝育"]}
铁代谢紊乱	E83.100	{"dummy_term": ["铁", "代谢", "紊乱"]}
肾病综合征，膜增殖性肾小球肾炎Ⅱ型	N04.601	{"dummy_term": ["肾病", "综合征", ",", "膜", "增殖性", "肾小球", "肾炎", "Ⅱ", "型"]}
脂环烃的其他卤素衍生物的毒性效应	T53.600	{"dummy_term": ["脂", "环", "烃", "的", "其他", "卤素", "衍生物", "的", "毒性", "效应"]}
适当应用正确药物或药剂的有害效应引起的过敏性休克	T88.600	{"dummy_term": ["适当", "应", "用", "正确", "或", "药剂", "的", "有害", "效应", "引起", "的", "过敏性", "休克"], "5_others_term": ["药物"]}
其他兴奋剂(包括咖啡因)遗忘综合征	F15.6	{"dummy_term": ["其他", "兴奋剂", "(", "包括", "咖啡因", ")", "遗忘", "综合征"]}
未特指的血栓性痔	I84.7	{"1_region_term": ["痔"], "dummy_term": ["未", "特指", "的"], "3_disease_term": ["血栓性"]}
巨大胎盘	O43.103	{"1_region_term": ["胎盘"], "dummy_term": ["巨大"]}
交界性心动过速	I47.105	{"dummy_term": ["交界", "性", "心动过速"]}
非器质性失眠症	F51.000	{"dummy_term": ["非", "器质性"], "3_disease_term": ["失眠症"]}
在心导管插入术中异物意外地遗留在体内	Y61.500	{"dummy_term": ["在", "心导管", "意外", "地", "遗留", "在", "体内"], "2_operation_term": ["插入术"], "5_others_term": ["中", "异物"]}
品他病	A67.900	{"dummy_term": ["品", "他", "病"]}
与由于伤残引起的活动受限有关的医疗咨询	Z73.600	{"dummy_term": ["与", "由于", "伤残", "引起", "的", "活动", "受限", "有关", "的", "医疗"], "5_others_term": ["咨询"]}
疾病和情况，其他特指的并发于妊娠、分娩和产褥期	O99.800	{"dummy_term": ["疾病", "和", "情况", ",", "其他", "特指", "的", "并发", "于", "妊娠", ",", "分娩", "和", "产褥期"]}
在踝和足水平的神经的损伤	S94.900	{"1_region_term": ["踝", "足", "神经"], "dummy_term": ["在", "和", "水平", "的", "的"], "3_disease_term": ["损伤"]}
泌尿生殖系统未特指的操作后疾患	N99.9	{"dummy_term": ["泌尿", "生殖系统", "未", "特指", "的", "后", "疾患"], "5_others_term": ["操作"]}
肺结核,经显微镜下痰检查证实,伴有或不伴有痰培养	A15.0	{"dummy_term": ["肺结核", "经", "痰", "证实", "伴有", "或", "不", "伴有", "痰", "培养"], "2_operation_term": ["检查"], "0_approach_term": ["显微镜下"]}
视神经盘玻璃疣	H47.301	{"1_region_term": ["视神经"], "dummy_term": ["盘", "玻璃", "疣"]}
器官后天性缺失,不可归类在他处者	Z90	{"dummy_term": ["器官", "后天性", "缺失", "不可", "归类", "在", "他", "处", "者"]}
性身份障碍	F64.900	{"dummy_term": ["性", "身份", "障碍"]}
妊娠合并肝病	O26.601	{"dummy_term": ["妊娠", "合", "并", "肝病"]}
曼森丝虫病	B74.400	{"dummy_term": ["曼", "森", "丝虫病"]}
幼年型腕骨骨软骨病	M92.201	{"1_region_term": ["腕骨", "骨"], "dummy_term": ["幼年", "型", "软骨病"]}
骨残留异物性肉芽肿	M86.805	{"1_region_term": ["骨"], "dummy_term": ["异", "物性"], "3_disease_term": ["残留", "肉芽肿"]}
冠状动脉支架植入后状态	Z95.501	{"dummy_term": ["后", "状态"], "2_operation_term": ["植入"], "4_implant_term": ["冠状动脉支架"]}
轻度子痫前期	O14.901	{"dummy_term": ["轻度", "子痫", "前期"]}
骑脚踏车人员在其他特指的运输事故中的损伤	V19.800	{"dummy_term": ["骑", "脚踏车", "人员", "在", "其他", "特指", "的", "运输", "事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
接触热空气和气体	X14.x00	{"dummy_term": ["接触", "热空气", "和", "气体"]}
