链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
面部萎缩	L90.901	{"1_region_term": ["面部"], "3_disease_term": ["萎缩"]}
先天性甲状腺功能减退症不伴甲状腺肿	E03.100x003	{"1_region_term": ["甲状腺"], "dummy_term": ["先天性", "功能", "减退症", "不", "伴", "甲状腺肿"]}
产伤引起的颅骨骨折	P13.000	{"1_region_term": ["颅骨"], "dummy_term": ["产", "伤", "引起", "的"], "3_disease_term": ["骨折"]}
血管瘤样纤维组织细胞瘤	M88360/1	{"dummy_term": ["血管瘤", "样", "纤维组织", "细胞"], "3_disease_term": ["瘤"]}
医疗性流产失败无并发症	O07.400	{"dummy_term": ["医疗", "性", "流产", "失败", "无", "并发症"]}
松果体区交界性肿瘤	D44.500x003	{"1_region_term": ["松果体"], "dummy_term": ["区", "交界", "性", "肿瘤"]}
半月板损伤	M23.308	{"1_region_term": ["半月板"], "3_disease_term": ["损伤"]}
产褥期子宫复旧不全	O90.800x001	{"1_region_term": ["子宫"], "dummy_term": ["产褥期", "复旧", "不", "全"]}
职业性牙磨损	K03.104	{"1_region_term": ["牙"], "dummy_term": ["磨损"], "5_others_term": ["职业性"]}
混合型脂肪肉瘤	M88550/3	{"1_region_term": ["脂肪"], "dummy_term": ["混合型", "肉瘤"]}
动脉的动脉瘤其他特指的	I72.800	{"1_region_term": ["动脉"], "dummy_term": ["的", "其他", "特指", "的"], "3_disease_term": ["动脉瘤"]}
腹壁瘘	K63.214	{"1_region_term": ["腹壁"], "3_disease_term": ["瘘"]}
腓骨长肌腱滑脱	M62.800x061	{"1_region_term": ["腓骨", "肌腱"], "dummy_term": ["长", "滑脱"]}
供骨髓者	Z52.300	{"1_region_term": ["骨髓"], "dummy_term": ["供", "者"]}
小腿其他特指的损伤	S89.800	{"1_region_term": ["小腿"], "dummy_term": ["其他", "特指", "的"], "3_disease_term": ["损伤"]}
急性非创伤性硬脑膜外出血	I62.100x001	{"1_region_term": ["硬脑膜"], "dummy_term": ["急性", "非", "创伤性", "外出血"]}
脑脊髓神经根炎	G04.900x011	{"1_region_term": ["脑", "脊髓神经根"], "dummy_term": ["炎"]}
支气管黏膜血管畸形	Q27.800x033	{"1_region_term": ["支气管"], "dummy_term": ["黏膜"], "3_disease_term": ["血管畸形"]}
皮瓣移植感染	T86.807	{"1_region_term": ["皮瓣"], "dummy_term": ["感染"], "2_operation_term": ["移植"]}
咽囊	Q38.700	{"1_region_term": ["咽"], "dummy_term": ["囊"]}
腋部脂肪增多症	E65.x00x011	{"1_region_term": ["脂肪"], "dummy_term": ["腋", "部", "增多", "症"]}
空调器和加湿器肺	J67.700	{"1_region_term": ["肺"], "dummy_term": ["空调器", "和", "加湿器"]}
腹腔镜绝育	Z30.201	{"dummy_term": ["腹腔镜", "绝育"]}
铁代谢紊乱	E83.100	{"dummy_term": ["铁", "代谢", "紊乱"]}
肾盂积水其他的	N13.300	{"1_region_term": ["肾盂"], "dummy_term": ["积水", "其他", "的"]}
脂环烃的其他卤素衍生物的毒性效应	T53.600	{"dummy_term": ["脂", "环", "烃", "的", "其他", "卤素", "衍生物", "的", "毒性", "效应"]}
适当应用正确药物或药剂的有害效应引起的过敏性休克	T88.600	{"dummy_term": ["适当", "应", "用", "正确", "或", "药剂", "的", "有害", "效应", "引起", "的", "过敏性", "休克"], "5_others_term": ["药物"]}
梅毒性帕金森病	A52.100x005+G22*	{"dummy_term": ["梅毒", "性", "帕金森病"]}
巨大胎盘	O43.103	{"1_region_term": ["胎盘"], "dummy_term": ["巨大"]}
新生儿鼠伤寒沙门菌感染	P39.800x005	{"dummy_term": ["新生儿", "鼠", "伤寒", "沙门", "菌", "感染"]}
髋部皮感觉神经损伤	S74.200x001	{"1_region_term": ["皮"], "dummy_term": ["髋部", "感觉神经"], "3_disease_term": ["损伤"]}
交界性心动过速	I47.105	{"dummy_term": ["交界", "性", "心动过速"]}
清漆中毒	T65.600x001	{"dummy_term": ["清漆", "中毒"]}
结核性气胸痰镜检阴性	A16.004	{"dummy_term": ["结核性", "气胸", "痰", "镜检", "阴性"]}
非器质性失眠症	F51.000	{"dummy_term": ["非", "器质性"], "3_disease_term": ["失眠症"]}
在心导管插入术中异物意外地遗留在体内	Y61.500	{"dummy_term": ["在", "心导管", "意外", "地", "遗留", "在", "体内"], "2_operation_term": ["插入术"], "5_others_term": ["中", "异物"]}
品他病	A67.900	{"dummy_term": ["品", "他", "病"]}
与由于伤残引起的活动受限有关的医疗咨询	Z73.600	{"dummy_term": ["与", "由于", "伤残", "引起", "的", "活动", "受限", "有关", "的", "医疗"], "5_others_term": ["咨询"]}
浅表冻伤其他和未特指部位的	T33.900	{"dummy_term": ["浅表", "冻伤", "其他", "和", "未", "特指", "部位", "的"]}
肺炎球菌性肘关节炎	M00.100x021	{"1_region_term": ["肘关节"], "dummy_term": ["肺炎球菌", "性", "炎"]}
唾液腺交界性肿瘤	D37.000x004	{"1_region_term": ["唾液腺"], "dummy_term": ["交界", "性", "肿瘤"]}
呼吸和胸腔内器官其他的恶性肿瘤个人史	Z85.200	{"1_region_term": ["胸腔内"], "dummy_term": ["和", "器官", "其他", "的", "恶性肿瘤", "个人", "史"], "5_others_term": ["呼吸"]}
在踝和足水平的神经的损伤	S94.900	{"1_region_term": ["踝", "足", "神经"], "dummy_term": ["在", "和", "水平", "的", "的"], "3_disease_term": ["损伤"]}
食管息肉	K22.807	{"1_region_term": ["食管"], "3_disease_term": ["息肉"]}
视神经盘玻璃疣	H47.301	{"1_region_term": ["视神经"], "dummy_term": ["盘", "玻璃", "疣"]}
前臂屈肌和肌腱损伤	S56.200x003	{"1_region_term": ["前臂", "肌", "肌腱"], "dummy_term": ["屈", "和"], "3_disease_term": ["损伤"]}
单个特指部位的急性粟粒型结核	A19.000	{"dummy_term": ["单个", "特指", "部位", "的", "急性", "粟", "粒", "型", "结核"]}
切迪阿克施泰因布林克东综合征ChediakSteinbrinckHigashi综合征	E70.300x003	{"dummy_term": ["切", "迪", "阿克", "施泰因", "布林克", "东", "综合征", "ChediakSteinbrinckHigashi", "综合征"]}
肠道的腐蚀伤	T28.702	{"dummy_term": ["肠道", "的", "腐蚀", "伤"]}
性身份障碍	F64.900	{"dummy_term": ["性", "身份", "障碍"]}
妊娠合并肝病	O26.601	{"dummy_term": ["妊娠", "合", "并", "肝病"]}
曼森丝虫病	B74.400	{"dummy_term": ["曼", "森", "丝虫病"]}
幼年型腕骨骨软骨病	M92.201	{"1_region_term": ["腕骨", "骨"], "dummy_term": ["幼年", "型", "软骨病"]}
骨残留异物性肉芽肿	M86.805	{"1_region_term": ["骨"], "dummy_term": ["异", "物性"], "3_disease_term": ["残留", "肉芽肿"]}
冠状动脉支架植入后状态	Z95.501	{"dummy_term": ["后", "状态"], "2_operation_term": ["植入"], "4_implant_term": ["冠状动脉支架"]}
轻度子痫前期	O13.x02	{"dummy_term": ["轻度", "子痫", "前期"]}
