霍乱由于O1群霍乱弧菌霍乱生物型所致	A00.000
古典生物型霍乱	A00.000x001
霍乱由于O1群霍乱弧菌埃尔托生物型所致	A00.100
埃尔托生物型霍乱	A00.100x001
霍乱	A00.900
霍乱轻型	A00.900x002
霍乱中型	A00.900x003
霍乱重型	A00.900x004
霍乱暴发型	A00.900x005
伤寒	A01.000
伤寒杆菌败血症	A01.000x002
伤寒并发脑膜炎	A01.000x003+G01*
伤寒复发	A01.000x004
伤寒并发肺炎	A01.000x005+J17.0*
伤寒迁延型	A01.000x006
伤寒逍遥型	A01.000x007
伤寒并发腹膜炎	A01.000x008
伤寒并发肠穿孔	A01.000x009
伤寒并发肠出血	A01.000x010
伤寒并发中毒性肝炎	A01.000x011
伤寒并发支气管炎	A01.000x012
伤寒并发胆囊炎	A01.000x014
伤寒并发中毒性心肌炎	A01.000x016+I41.0*
伤寒轻型	A01.000x017
伤寒普通型	A01.000x018
伤寒暴发型	A01.000x019
伤寒再燃	A01.000x020
伤寒性肝炎	A01.001+K77.0*
伤寒性脑膜炎	A01.002+G01*
伤寒杆菌性败血症	A01.003
副伤寒甲	A01.100
副伤寒乙	A01.200
副伤寒丙	A01.300
副伤寒	A01.400
沙门菌肠炎	A02.000
婴儿沙门菌肠炎	A02.000x005
C群沙门菌肠炎	A02.000x006
B群沙门菌肠炎	A02.000x007
沙门菌小肠炎	A02.000x009
猪霍乱沙门菌肠炎	A02.000x010
阿哥拉沙门菌肠炎	A02.001
沙门菌伦敦血清型肠炎	A02.002
沙门菌胃肠炎	A02.003
鼠伤寒沙门菌肠炎	A02.004
沙门菌败血症	A02.100
鼠伤寒沙门菌败血症	A02.100x002
猪霍乱沙门菌败血症	A02.101
局限性沙门菌感染	A02.200
沙门菌性肾小管间质病	A02.200x004+N16.0*
沙门菌性骨髓炎	A02.200x005+M90.2*
沙门菌肺炎	A02.201+J17.0*
沙门菌关节炎	A02.202+M01.3*
沙门菌脑膜炎	A02.203+G01*
沙门菌感染其他特指的	A02.800
